date,max_temp,min_temp
2026-06-28,36.7,28.8
2026-06-29,36.3,27.6
2026-06-30,35.4,26.7
2026-07-01,28.1,25.1
2026-07-02,31.3,25.0
2026-07-03,34.3,26.4
2026-07-04,32.8,27.0
2026-07-05,34.5,28.2
